title,company,location,link
Cross Border Ecommerce - Business Intelligence (Based in Seoul),"
Shopee",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b574f1454ae36aab&tk
[AI R&D] Language AI(NLP) Research 분야 수시 채용,"
엔씨소프트",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f4190a8dbb8c05b1&tk
[신규프로젝트] 차세대 콘솔 Maya 리거 채용,"
엔씨소프트",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7bd59201a82e59ed&tk
[Autonomous Driving] Virtual Environment Simulation Engineer,"
네이버",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5ed0334bca0963cb&tk
R&D 인공지능/딥러닝 / UNITY 신입,"
스칼라웍스",서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=df4340b7b440221b&tk
Junior Quant Trader,"
Byzantine Partners",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=25725b3c0e607311&tk
[서울/수원/천안] IT 분야 취업 연계 훈련생,"
휴먼교육센터",천안 동남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b3bde1882ae8a1d8&tk
채팅모듈 개발자,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3b752abecf619fe5&tk
"소프트웨어, 프로그래밍 정규직","
삼정산업",포항 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2078ccd1b792432d&tk
백엔드 개발자(데이터 엔지니어) - Junior,"
유저해빗",서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0d5c5371dd25b265&tk
데이터 사이언티스트 지향하는 데이터 엔지니어,"
카카오",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=385c58c7ced1d77b&tk
Applications Engineer (Library Characterization),"
Synopsys",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8c8700db243d1a3c&tk
Senior R&D Engineer,"
Synopsys",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4b6541fefc98ee60&tk
Linux/Python/PHP/MySQL/백엔드 정규직 경력,"
일루미나리안",용인 보정동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=04d685fc70b67d4e&tk
웹프론트엔드 개발자,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f4a5057bd3043129&tk
DBA (RDBMS / NOSQL),"
LINE Plus corporation",성남 서현역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fc3417cda2ac9c49&tk
[NAVERxLINE] Global Ad AI Engineer/AI Planner,"
네이버",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a358a39da5dfc360&tk
qe 소프트웨어 엔지니어,"
에이치알 코리아",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=85687b250386c4be&tk
메시지발송 플랫폼 개발자,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eaee1538d8cc832f&tk
Fintech 데이터 분석 전문가 (Data Scientist),"
LINE Plus corporation",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9ce56f0a981fc2f0&tk
Field Data Scientist,"
Success Korea",경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2892c67308e87f01&tk
RTL 및 ASIC 설계 엔지니어(딥러닝 하드웨어 프로세서 개발),"
딥엑스",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=694ab958318e7fdc&tk
Machine Learning Engineer (LINE AI Services Lab),"
LINE Plus corporation",성남 서현역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ff52e5f9625f8f34&tk
매칭팀 - 프로그래머,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b83e48f219011128&tk
"NAVER, LINE 서비스 플랫폼 운영","
NIT Service",성남 삼평동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=285996f91e76a862&tk
[인턴] Lighthouse 본부 - 머신러닝 서비스 개발자 인턴,"
삼정 KPMG",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7d29efdc2b4eafe8&tk
2020 전문연구요원 공개 채용,"
넷마블",서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b1c8dcf6b4990bbd&tk
Developers,"
Coinplug",경기도 성남,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9a9e91ae6092ed2d&tk
인프라 플랫폼 개발자,"
고도소프트",서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2b1c5b35b97700fc&tk
데이터 엔지니어,"
리디",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=770a8ea269abb47a&tk
데이터 분석가(팀원급),"
리디",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=edf056387f11ec0d&tk
인공지능(AI) SW개발 담당 0명 자동화 산업장비 제조업,"
자동화 산업장비 제조업",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5164238b12d010da&tk
2020 KB데이타시스템 경력직 상시,"
KB데이타시스템",서울 마포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=28fe1c7cb71014dc&tk
경험최적화파트 - 데이터 사이언티스트/분석가,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c6e0b428a62c7eaa&tk
Data Scientist (LINE TIMELINE),"
LINE Plus corporation",성남 서현역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=747e809417b65ce3&tk
영상처리 개발자 각 부문 (Verilog / SW / Unity),"
엠앤앤에이치",서울 성동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0f664927507e6f96&tk
"IT Analyst, E-Commerce","
Procter and Gamble",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=784cd549a392c126&tk
Global Fintech Data Scientist,"
LINE Plus corporation",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ec0c6e742224caeb&tk
테크센터개발팀 - 웹 프로그래머,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5f18c149379506cd&tk
"[DGB자산운용] 주식운용, 마케팅","
디지비자산운용",서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2b6b0c6baeda2c99&tk
기술 인턴 인공지능 응용 연구/개발 인턴,"
써로마인드로보틱스",서울 관악구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=71c47ac87bb4087e&tk
[인재풀] 아티스트,"
Electronic Arts",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=aac8e9355cb855ac&tk
데이터 분석 및 지표 구축,"
아프리카TV",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=613678e409e8667c&tk
IT 개발 인력,"
신한에이아이",서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5b7082e6fa4b1bde&tk
2020년 하반기 각 부문 신입/경력,"
스탠드포인트",서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=158d61f253f65fb4&tk
디지털 전략 전문가 양성과정 교육/참여자,"
휴넷",서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=69c4af8713e64d0d&tk
ITSM Service 운영관리(Java.Unix 가능자) / 인천 송도,"
엠아이티마스",인천 연수구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9ebcb7901600200f&tk
[외국계 스타트업 미소] Data Analyst,"
유한회사 미소",서울 성동구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0ddd0149ee89bcbe&tk
부경대학교 시간강사 경력,"
부경대학교 산학협력단",부산 남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ec186421898dffeb&tk
백/프론트 웹개발자(풀스택 Full Stack) 경력자,"
소프트케익",부산 연제구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=928c3bf56ce83048&tk
Security Engineer (모의해킹/취약점 점검),"
Toss",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b1b1b1e754bccf6b&tk
Chief Technology Officer,"
Asiance",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4484523b503e0f07&tk
"Technical Solutions Consultant, Android TV Partner Engineering","
Google",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7c9e43f7aca62f24&tk
[피파온라인4] 소프트웨어 엔지니어,"
Electronic Arts",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1cf825d234463890&tk
사내 시스템 (O365) 구축/관리 엔지니어,"
Nexon",성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b4bd6d5bad3b761c&tk
AI 연구/개발 직군 모집,"
넷마블",서울 구로구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=481f953ccaa4bc96&tk
Python 신입/경력 정규직,"
태그바이컴퍼니",서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e7b19736572ba66e&tk
자연어처리 기술 개발자,"
NHN",성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9cf16f530cb5e00c&tk
